,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2016584,1743-11-01,5.553999999999999,1.777,Dijon,France,47.42N,5.92E
2016585,1743-12-01,,,Dijon,France,47.42N,5.92E
2016586,1744-01-01,,,Dijon,France,47.42N,5.92E
2016587,1744-02-01,,,Dijon,France,47.42N,5.92E
2016588,1744-03-01,,,Dijon,France,47.42N,5.92E
2016589,1744-04-01,9.318,2.227,Dijon,France,47.42N,5.92E
2016590,1744-05-01,11.628,1.621,Dijon,France,47.42N,5.92E
2016591,1744-06-01,15.140999999999998,1.578,Dijon,France,47.42N,5.92E
2016592,1744-07-01,16.922,1.715,Dijon,France,47.42N,5.92E
2016593,1744-08-01,,,Dijon,France,47.42N,5.92E
2016594,1744-09-01,13.276,1.726,Dijon,France,47.42N,5.92E
2016595,1744-10-01,8.99,1.702,Dijon,France,47.42N,5.92E
2016596,1744-11-01,4.724,1.614,Dijon,France,47.42N,5.92E
2016597,1744-12-01,1.064,1.895,Dijon,France,47.42N,5.92E
2016598,1745-01-01,-0.963,1.987,Dijon,France,47.42N,5.92E
2016599,1745-02-01,0.363,1.82,Dijon,France,47.42N,5.92E
2016600,1745-03-01,3.489,1.515,Dijon,France,47.42N,5.92E
2016601,1745-04-01,8.019,1.5,Dijon,France,47.42N,5.92E
2016602,1745-05-01,,,Dijon,France,47.42N,5.92E
2016603,1745-06-01,,,Dijon,France,47.42N,5.92E
2016604,1745-07-01,,,Dijon,France,47.42N,5.92E
2016605,1745-08-01,,,Dijon,France,47.42N,5.92E
2016606,1745-09-01,,,Dijon,France,47.42N,5.92E
2016607,1745-10-01,,,Dijon,France,47.42N,5.92E
2016608,1745-11-01,,,Dijon,France,47.42N,5.92E
2016609,1745-12-01,,,Dijon,France,47.42N,5.92E
2016610,1746-01-01,,,Dijon,France,47.42N,5.92E
2016611,1746-02-01,,,Dijon,France,47.42N,5.92E
2016612,1746-03-01,,,Dijon,France,47.42N,5.92E
2016613,1746-04-01,,,Dijon,France,47.42N,5.92E
2016614,1746-05-01,,,Dijon,France,47.42N,5.92E
2016615,1746-06-01,,,Dijon,France,47.42N,5.92E
2016616,1746-07-01,,,Dijon,France,47.42N,5.92E
2016617,1746-08-01,,,Dijon,France,47.42N,5.92E
2016618,1746-09-01,,,Dijon,France,47.42N,5.92E
2016619,1746-10-01,,,Dijon,France,47.42N,5.92E
2016620,1746-11-01,,,Dijon,France,47.42N,5.92E
2016621,1746-12-01,,,Dijon,France,47.42N,5.92E
2016622,1747-01-01,,,Dijon,France,47.42N,5.92E
2016623,1747-02-01,,,Dijon,France,47.42N,5.92E
2016624,1747-03-01,,,Dijon,France,47.42N,5.92E
2016625,1747-04-01,,,Dijon,France,47.42N,5.92E
2016626,1747-05-01,,,Dijon,France,47.42N,5.92E
2016627,1747-06-01,,,Dijon,France,47.42N,5.92E
2016628,1747-07-01,,,Dijon,France,47.42N,5.92E
2016629,1747-08-01,,,Dijon,France,47.42N,5.92E
2016630,1747-09-01,,,Dijon,France,47.42N,5.92E
2016631,1747-10-01,,,Dijon,France,47.42N,5.92E
2016632,1747-11-01,,,Dijon,France,47.42N,5.92E
2016633,1747-12-01,,,Dijon,France,47.42N,5.92E
2016634,1748-01-01,,,Dijon,France,47.42N,5.92E
2016635,1748-02-01,,,Dijon,France,47.42N,5.92E
2016636,1748-03-01,,,Dijon,France,47.42N,5.92E
2016637,1748-04-01,,,Dijon,France,47.42N,5.92E
2016638,1748-05-01,,,Dijon,France,47.42N,5.92E
2016639,1748-06-01,,,Dijon,France,47.42N,5.92E
2016640,1748-07-01,,,Dijon,France,47.42N,5.92E
2016641,1748-08-01,,,Dijon,France,47.42N,5.92E
2016642,1748-09-01,,,Dijon,France,47.42N,5.92E
2016643,1748-10-01,,,Dijon,France,47.42N,5.92E
2016644,1748-11-01,,,Dijon,France,47.42N,5.92E
2016645,1748-12-01,,,Dijon,France,47.42N,5.92E
2016646,1749-01-01,,,Dijon,France,47.42N,5.92E
2016647,1749-02-01,,,Dijon,France,47.42N,5.92E
2016648,1749-03-01,,,Dijon,France,47.42N,5.92E
2016649,1749-04-01,,,Dijon,France,47.42N,5.92E
2016650,1749-05-01,,,Dijon,France,47.42N,5.92E
2016651,1749-06-01,,,Dijon,France,47.42N,5.92E
2016652,1749-07-01,,,Dijon,France,47.42N,5.92E
2016653,1749-08-01,,,Dijon,France,47.42N,5.92E
2016654,1749-09-01,,,Dijon,France,47.42N,5.92E
2016655,1749-10-01,,,Dijon,France,47.42N,5.92E
2016656,1749-11-01,,,Dijon,France,47.42N,5.92E
2016657,1749-12-01,,,Dijon,France,47.42N,5.92E
2016658,1750-01-01,-0.14300000000000002,1.673,Dijon,France,47.42N,5.92E
2016659,1750-02-01,3.977,2.165,Dijon,France,47.42N,5.92E
2016660,1750-03-01,7.13,2.266,Dijon,France,47.42N,5.92E
